transaction_id,timestamp,sender_account,receiver_account,sender_bank,receiver_bank,sender_country,receiver_country,amount,currency,transaction_type,payment_channel,device_id,ip_address,geo_latitude,geo_longitude,merchant_category,transaction_status,sender_balance_before,sender_balance_after,receiver_balance_before,receiver_balance_after,kyc_level,is_international,remarks,amount_leading_digit
71aeacba-5a30-46a3-8d25-e09e864c1a80,2026-05-30T09:00:00+00:00,acc-R01-A,acc-R01-B,HDFC,ICICI,IN,IN,2500000.0,INR,NEFT,Web,dev-probe,203.0.113.5,28.61,77.21,Other,Success,,,,,2,False,probe=R01-high-value,2
e003226e-f5b6-4cc0-90d0-67a7068bc6d8,2026-05-30T09:00:00+00:00,acc-R02-A,acc-R02-B,HDFC,ICICI,IN,IN,900000.0,INR,NEFT,Web,dev-probe,203.0.113.5,28.61,77.21,Other,Success,,,,,2,False,probe=R02-structuring,9
d940361f-2661-4bf6-8b95-de8214070109,2026-05-30T09:03:00+00:00,acc-R02-A,acc-R02-B,HDFC,ICICI,IN,IN,905000.0,INR,NEFT,Web,dev-probe,203.0.113.5,28.61,77.21,Other,Success,,,,,2,False,probe=R02-structuring,9
d1f940ea-8ef6-4eb1-9ac8-791b790f40d6,2026-05-30T09:06:00+00:00,acc-R02-A,acc-R02-B,HDFC,ICICI,IN,IN,910000.0,INR,NEFT,Web,dev-probe,203.0.113.5,28.61,77.21,Other,Success,,,,,2,False,probe=R02-structuring,9
8126a5f7-35e7-437d-baa5-44bca4effafc,2026-05-30T09:09:00+00:00,acc-R02-A,acc-R02-B,HDFC,ICICI,IN,IN,915000.0,INR,NEFT,Web,dev-probe,203.0.113.5,28.61,77.21,Other,Success,,,,,2,False,probe=R02-structuring,9
24a03e16-e9f3-449a-b52e-4ce7b9dd471a,2026-05-30T09:12:00+00:00,acc-R02-A,acc-R02-B,HDFC,ICICI,IN,IN,920000.0,INR,NEFT,Web,dev-probe,203.0.113.5,28.61,77.21,Other,Success,,,,,2,False,probe=R02-structuring,9
0b77319d-7a8f-4f8b-8992-f9f7238bf5d8,2026-05-30T09:15:00+00:00,acc-R02-A,acc-R02-B,HDFC,ICICI,IN,IN,925000.0,INR,NEFT,Web,dev-probe,203.0.113.5,28.61,77.21,Other,Success,,,,,2,False,probe=R02-structuring,9
b3032e53-29a0-4fff-851c-451a176cd415,2026-05-30T09:18:00+00:00,acc-R02-A,acc-R02-B,HDFC,ICICI,IN,IN,930000.0,INR,NEFT,Web,dev-probe,203.0.113.5,28.61,77.21,Other,Success,,,,,2,False,probe=R02-structuring,9
5d280fea-7a49-4f96-b95a-c73102bf475b,2026-05-30T09:21:00+00:00,acc-R02-A,acc-R02-B,HDFC,ICICI,IN,IN,935000.0,INR,NEFT,Web,dev-probe,203.0.113.5,28.61,77.21,Other,Success,,,,,2,False,probe=R02-structuring,9
e25c46d4-9647-4e61-bb1c-d27c9c7e60ee,2026-05-30T09:24:00+00:00,acc-R02-A,acc-R02-B,HDFC,ICICI,IN,IN,940000.0,INR,NEFT,Web,dev-probe,203.0.113.5,28.61,77.21,Other,Success,,,,,2,False,probe=R02-structuring,9
5b8b30e3-c45f-40a6-b148-123b6b77fa73,2026-05-30T09:27:00+00:00,acc-R02-A,acc-R02-B,HDFC,ICICI,IN,IN,945000.0,INR,NEFT,Web,dev-probe,203.0.113.5,28.61,77.21,Other,Success,,,,,2,False,probe=R02-structuring,9
